iter	Passed	Remaining
786	1327	359
787	1329	357
788	1330	355
789	1332	354
790	1334	352
791	1336	351
792	1338	349
793	1340	347
794	1342	346
795	1343	344
796	1345	342
797	1347	341
798	1349	339
799	1351	337
800	1352	336
801	1355	334
802	1357	332
803	1358	331
804	1360	329
805	1362	327
806	1364	326
807	1366	324
808	1368	323
809	1370	321
810	1371	319
811	1373	318
812	1375	316
813	1377	314
814	1379	313
815	1381	311
816	1383	309
817	1385	308
818	1387	306
819	1389	305
820	1391	303
821	1392	301
822	1394	299
823	1396	298
824	1398	296
825	1399	294
826	1401	293
827	1403	291
828	1404	289
829	1406	288
830	1408	286
831	1410	284
832	1411	283
833	1413	281
834	1415	279
835	1417	278
836	1418	276
837	1420	274
838	1422	272
839	1423	271
840	1425	269
841	1427	267
842	1428	266
843	1430	264
844	1432	262
845	1434	261
846	1436	259
847	1438	257
848	1440	256
849	1441	254
850	1443	252
851	1445	251
852	1446	249
853	1448	247
854	1450	245
855	1451	244
856	1453	242
857	1455	240
858	1456	239
859	1458	237
860	1460	235
861	1461	234
862	1463	232
863	1464	230
864	1466	228
865	1468	227
866	1470	225
867	1471	223
868	1473	222
869	1474	220
870	1476	218
871	1478	216
872	1480	215
873	1481	213
874	1483	211
875	1484	210
876	1486	208
877	1487	206
878	1489	205
879	1491	203
880	1492	201
881	1494	199
882	1495	198
883	1497	196
884	1499	194
885	1500	193
886	1502	191
887	1503	189
888	1505	187
889	1507	186
890	1508	184
891	1510	182
892	1512	181
893	1513	179
894	1515	177
895	1517	176
896	1519	174
897	1520	172
898	1522	171
899	1523	169
900	1525	167
901	1527	165
902	1529	164
903	1530	162
904	1532	160
905	1534	159
906	1535	157
907	1537	155
908	1539	154
909	1540	152
910	1542	150
911	1544	149
912	1546	147
913	1548	145
914	1549	143
915	1551	142
916	1553	140
917	1555	138
918	1557	137
919	1559	135
920	1561	133
921	1562	132
922	1564	130
923	1566	128
924	1567	127
925	1569	125
926	1571	123
927	1573	122
928	1575	120
929	1576	118
930	1578	117
931	1580	115
932	1582	113
933	1584	111
934	1585	110
935	1587	108
936	1589	106
937	1591	105
938	1592	103
939	1594	101
940	1596	100
941	1598	98
942	1600	96
943	1601	95
944	1603	93
945	1605	91
946	1606	89
947	1608	88
948	1609	86
949	1611	84
950	1613	83
951	1615	81
952	1617	79
953	1619	78
954	1621	76
955	1623	74
956	1625	73
957	1626	71
958	1628	69
959	1630	67
960	1632	66
961	1634	64
962	1635	62
963	1637	61
964	1639	59
965	1640	57
966	1642	56
967	1644	54
968	1646	52
969	1648	50
970	1650	49
971	1652	47
972	1653	45
973	1655	44
974	1656	42
975	1658	40
976	1660	39
977	1662	37
978	1664	35
979	1666	34
980	1667	32
981	1669	30
982	1671	28
983	1673	27
984	1675	25
985	1677	23
986	1678	22
987	1680	20
988	1681	18
989	1683	17
990	1685	15
991	1687	13
992	1689	11
993	1691	10
994	1693	8
995	1694	6
996	1696	5
997	1698	3
998	1700	1
999	1702	0
